Page Number,Title Number,Title Name
Page 1,Title 1,"Smartproxy Launches ISP Proxies, Adds SOCKS5 to More Products"
Page 1,Title 2,"Oxylabs’ Mobile Proxies Get Self-Service, Pay As You Go, New Enterprise Plans"
Page 1,Title 3,Bright Data’s Impact Report: Tech Highlights
Page 1,Title 4,Smartproxy Temporarily Cuts Residential Proxy Prices
Page 1,Title 5,SOAX Launches Rotating ISP Proxies
Page 1,Title 6,Infantica Introduces Shared Datacenter Proxies
Page 1,Title 7,"Oxylabs Adds Self-Service, New Plans To Web Scraping Products"
Page 1,Title 8,Bright Data Launches Scraping Browser
Page 1,Title 9,"Smartproxy Launches Mobile Proxies, Social Media Scraping API"
Page 1,Title 10,Oxylabs Introduces New Plans for Entry-Level and Enterprise Clients
Page 1,Title 11,Zyte Officially Launches Zyte API
Page 1,Title 12,"IPRoyal Rebrands, Adds Features, Raises Prices"
Page 2,Title 1,SOAX Launches a Podcast on Ethical Data Collection
Page 2,Title 2,Oxylabs Launches Web Unblocker
Page 2,Title 3,Bright Data and Meta Sue One Another
Page 2,Title 4,Smartproxy Launches Pay-Per-IP Shared Datacenter Proxies
Page 2,Title 5,Ethics of Web Data: Interview with i2Coalition
Page 2,Title 6,Oxylabs Launches Its Fourth Scraping Tool: Real Estate Scraper API
Page 2,Title 7,NetNut Introduces Mobile Proxy Plans
Page 2,Title 8,End of Survey on Proxy Use + Some Stats
Page 2,Title 9,Proxy Ethicality: Interview with SOAX
Page 2,Title 10,Smartproxy Acquires SERPMaster
Page 2,Title 11,Zyte’s 2022 Extract Summit: A Recap
Page 2,Title 12,Jarvee Shuts Down
Page 3,Title 1,Oxylabs Acquires Webshare
Page 3,Title 2,The i2Coalition Launches an Initiative to Make Public Data Aggregation More Ethical
Page 3,Title 3,"Bright Data Buys a Digital Analytics Company, Announces Bright Insights"
Page 3,Title 4,OxyCon Day 2 Recap
Page 3,Title 5,OxyCon Day 1 Recap
Page 3,Title 6,Balancing Proxy Cost and Quality: Is It Worth Saving a Buck by Choosing a Cheaper Provider?
Page 3,Title 7,Zyte to Hold Its Annual Web Scraping Conference
Page 3,Title 8,Smartproxy Introduces a Pay-As-You-Go Plan
Page 3,Title 9,"911 Proxy Service Shuts Down, Users Scramble for Alternatives"
Page 3,Title 10,"Oxylabs Cuts Prices, Introduces a Pay-As-You-Go Plan"
Page 3,Title 11,Blazing SEO Rebrands and Becomes Rayobyte
Page 3,Title 12,"OxyCon, a Virtual Web Scraping Conference by Oxylabs, Returns for the Third Year"
Page 4,Title 1,Smartproxy Launches Three New Scraping Tools
Page 4,Title 2,FBI Takes Down RSocks
Page 4,Title 3,Bright Data Introduces Residential Proxy No-KYC Mode
Page 4,Title 4,Proxy Ethicality: Interview with Blazing SEO
Page 4,Title 5,Oxylabs Introduces Shared Datacenter Proxies
Page 4,Title 6,Proxy Ethicality: Interview with Bright Data
Page 4,Title 7,"Smartproxy Adds Wallet Functionality, More Datacenter Locations, Free Trial"
Page 4,Title 8,"IPRoyal’s Home-Grown Residential Pool Reaches 250,000 Monthly IPs"
Page 4,Title 9,Proxy Ethicality: Interview with Oxylabs
Page 4,Title 10,Proxy Providers Stand with Ukraine
Page 4,Title 11,Blazing SEO Raises Funds to Support Its Stranded Ukrainian Team
Page 4,Title 12,Oxylabs Goes on the Offensive against Bright Data
